Date,Australian Equities,Developed Market Equities,Emerging Market Equities,Australian Listed Property,Hedge Funds,Australian Fixed Interest,Global Fixed Interest,Cash (Bank bills)
28/02/2013,0.052915622,0.014745012,-0.009751394,0.034549966,0.002384802,0.005941945,0.008289901,0.002245654
29/03/2013,-0.022538204,0.026757075,-0.008826408,-0.028566158,0.012117424,-0.002027424,0.007467332,0.002463143
30/04/2013,0.042964026,0.027868907,-0.000874711,0.082688335,0.013864818,0.015420594,0.013257489,0.002613846
31/05/2013,-0.045376181,0.014370476,0.007962071,-0.036589385,0.004185087,-0.000745097,-0.013092329,0.002568745
28/06/2013,-0.024028449,-0.024187918,-0.050926548,-0.009092012,-0.016553181,-0.010463297,-0.012397234,0.002299354
31/07/2013,0.052970142,0.047328269,0.014569255,-0.008290184,0.008813816,0.008554985,0.006293264,0.002531603
30/08/2013,0.025129524,-0.020620671,-0.000984733,-0.000190881,-0.005423528,-0.003206624,-0.001659045,0.002313747
30/09/2013,0.02162079,0.037326519,0.042198972,0.010674558,0.012730518,0.005007388,0.00977323,0.002110326
31/10/2013,0.039346305,0.03957923,0.040160164,0.0251739,0.015938283,-0.000561969,0.011073017,0.002179664
29/11/2013,-0.013575755,0.021712298,-0.000374688,-0.028506549,0.013086382,-0.000987269,0.000505222,0.002131805
31/12/2013,0.00823487,0.020881272,-0.00981717,-0.015597543,0.011947113,0.005251812,-0.003554811,0.002147706
31/01/2014,-0.02995524,-0.03241933,-0.044492292,0.005547905,-0.002857519,0.010874826,0.016740256,0.002242576
28/02/2014,0.049163991,0.042120335,0.02161532,0.042763269,0.017156539,0.003413209,0.006713541,0.001993163
31/03/2014,0.002094461,0.001861178,0.018969567,-0.016413555,-0.004837723,0.000189662,0.003078134,0.002179805
30/04/2014,0.016835644,0.007288228,-0.001742866,0.05733737,-0.002067424,0.009067177,0.008992909,0.002214477
30/05/2014,0.006452074,0.022491295,0.02856345,0.00043133,0.011310401,0.013728109,0.011738633,0.002248628
30/06/2014,-0.014468434,0.013812165,0.023948081,0.034205838,0.009578297,0.008045413,0.005460135,0.002202148
31/07/2014,0.044123672,-0.007834653,0.029739906,0.050533411,-0.003089354,0.002912055,0.00460551,0.002299183
29/08/2014,0.006423595,0.026413531,0.019860017,0.016317886,0.00878335,0.010141715,0.014261154,0.002266145
30/09/2014,-0.053674069,-0.009948638,-0.042498727,-0.052091076,-0.000109063,-0.003329993,-0.001142812,0.00207374
31/10/2014,0.042654417,0.011377156,0.01420422,0.067867015,-0.007998837,0.009566539,0.009538949,0.002311461
28/11/2014,-0.032422977,0.028884808,0.011265268,-0.001784619,0.014972145,0.012676389,0.011728333,0.002248759
31/12/2014,0.020402525,-0.007771839,-0.02486609,0.046017468,0.000126388,0.016851447,0.00750972,0.002318118
